Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
MLP (threshold=0.5),0.7960199004975125,0.638095238095238,0.5374331550802139,0.5834542815674891,0.8339644667160185
MLP (threshold=0.3),0.7526652452025586,0.524904214559387,0.732620320855615,0.6116071428571429,0.7135374875110654
Logistic Regression,0.798862828713575,0.6342182890855457,0.5748663101604278,0.603085553997195,0.8349894652924094
Random Forest,0.7874911158493249,0.6279863481228669,0.4919786096256685,0.5517241379310345,0.8193944743258563
